daydt,item_id,store_id,promo_price
2022-04-30,item1,store1,265.5
2022-04-30,item1,store4,265.5
2022-04-30,item1,store2,20.5
2022-04-30,item4,store2,20.1
2022-05-01,item1,store1,265.5
2022-05-01,item1,store4,265.5
2022-05-01,item1,store2,20.5
2022-05-01,item4,store2,20.1
2022-05-02,item1,store1,265.5
2022-05-02,item1,store4,265.5
2022-05-02,item1,store2,20.5
2022-05-02,item4,store2,20.1
2022-05-27,item6,store4,264.3
2022-05-27,item6,store3,264.3
2022-05-28,item6,store4,264.3
2022-05-28,item6,store3,264.3
2022-05-29,item6,store4,264.3
2022-05-29,item6,store3,264.3
2022-07-05,item1,store1,296.0
2022-07-05,item1,store4,296.0
2022-07-05,item1,store2,20.5
2022-07-05,item4,store2,20.1
2022-07-06,item1,store1,296.0
2022-07-06,item1,store4,296.0
2022-07-06,item1,store2,20.5
2022-07-06,item4,store2,20.1
2022-07-07,item1,store1,296.0
2022-07-07,item1,store4,296.0
2022-07-07,item1,store2,20.5
2022-07-07,item4,store2,20.1
2022-07-08,item1,store1,296.0
2022-07-08,item1,store4,296.0
2022-07-08,item1,store2,20.5
2022-07-08,item4,store2,20.1
